,manufacturer_name,transmission,color,odometer_value,year_produced,engine_fuel,engine_type,engine_capacity,body_type,has_warranty,ownership,type_of_drive,is_exchangeable,number_of_photos,number_of_maintenance,duration_listed,price_usd
7296,Skoda,manual,other,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,2,3,16164.75
7349,Skoda,manual,black,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,11,26,14746.28
7389,LADA,manual,red,0,2019,gasoline,gasoline,1.6,liftback,False,new,front,False,20,19,35,7806.13
7469,Skoda,automatic,brown,0,2019,gasoline,gasoline,2.0,suv,True,new,all,True,15,10,26,35713.26
7470,Skoda,automatic,brown,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,12,26,16521.39
7490,Skoda,automatic,black,0,2019,gasoline,gasoline,2.0,suv,True,new,all,True,15,1,2,35713.26
7512,Skoda,automatic,grey,0,2019,gasoline,gasoline,2.0,suv,True,new,all,True,15,1,1,37126.53
7672,Skoda,manual,red,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,1,2,16127.29
7709,Skoda,automatic,silver,0,2019,gasoline,gasoline,1.8,sedan,True,new,front,True,15,1,2,27595.56
7904,Skoda,automatic,green,0,2019,diesel,diesel,2.0,suv,True,new,all,True,15,12,26,34782.32
7921,Mini,automatic,orange,0,2019,gasoline,gasoline,1.5,hatchback,False,new,front,False,25,40,52,31807.0
8120,Skoda,automatic,brown,0,2019,gasoline,gasoline,1.8,sedan,True,new,front,True,15,1,2,24629.61
8254,Skoda,automatic,black,0,2019,gasoline,gasoline,2.0,suv,True,new,all,True,15,10,26,34789.43
8304,Skoda,manual,other,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,2,2,16924.03
8344,Skoda,manual,silver,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,12,26,17826.52
8393,Skoda,automatic,white,0,2019,diesel,diesel,2.0,suv,True,new,all,True,15,1,2,34998.58
8582,Skoda,manual,white,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,1,1,15009.49
8687,Kia,automatic,blue,0,2019,gasoline,gasoline,2.0,suv,False,new,front,True,12,182,412,25395.0
8700,Skoda,automatic,brown,0,2019,diesel,diesel,2.0,suv,True,new,all,True,15,12,26,39178.6
8746,Skoda,automatic,silver,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,2,3,18487.62
8814,Geely,automatic,white,0,2019,gasoline,gasoline,1.8,suv,False,new,all,False,5,20,143,22479.37
8829,Skoda,automatic,brown,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,2,3,16401.88
8832,Skoda,manual,red,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,1,0,16788.86
8895,Skoda,manual,brown,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,12,26,17860.66
8982,Skoda,manual,green,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,12,26,17514.93
8990,Fiat,manual,white,0,2019,diesel,diesel,1.3,van,False,new,front,True,14,356,839,19480.41
9011,Nissan,automatic,black,0,2019,gasoline,gasoline,2.0,suv,True,new,all,True,1,48,83,29200.0
9016,Skoda,manual,brown,0,2019,gasoline,gasoline,1.4,sedan,True,new,front,True,15,1,2,22648.2
9230,Skoda,manual,black,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,11,26,15228.59
9554,Skoda,manual,red,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,12,26,16052.83
9577,Fiat,manual,white,0,2019,diesel,diesel,1.3,van,False,new,front,True,13,355,839,22770.07
9657,Skoda,automatic,red,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,2,3,18776.43
9723,Skoda,manual,brown,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,11,26,14746.28
9813,Skoda,automatic,brown,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,2,3,16105.47
9843,Skoda,automatic,red,0,2019,gasoline,gasoline,1.4,sedan,True,new,front,True,15,1,2,18389.45
9887,Skoda,manual,white,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,1,2,13942.43
9999,Hyundai,automatic,brown,0,2019,gasoline,gasoline,2.4,suv,True,new,all,True,6,12,33,42000.0
10151,Skoda,automatic,other,0,2019,diesel,diesel,2.0,suv,True,new,all,True,15,11,26,38653.61
10156,Skoda,manual,other,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,1,2,19736.32
10263,Skoda,automatic,brown,0,2019,gasoline,gasoline,2.0,suv,True,new,all,True,15,12,26,39278.67
10450,Skoda,manual,green,0,2019,gasoline,gasoline,1.4,sedan,True,new,front,True,15,12,26,25977.9
10534,Skoda,manual,grey,0,2019,gasoline,gasoline,1.4,sedan,True,new,front,True,15,12,26,25857.92
10818,Skoda,automatic,brown,0,2019,gasoline,gasoline,1.4,sedan,True,new,front,True,15,1,2,25893.48
10971,Skoda,automatic,silver,0,2019,gasoline,gasoline,2.0,suv,True,new,all,True,15,11,26,35055.49
11118,Skoda,manual,silver,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,1,1,14544.72
11119,Skoda,automatic,blue,0,2019,diesel,diesel,2.0,suv,True,new,all,True,15,12,26,41850.99
11133,Skoda,automatic,brown,0,2019,diesel,diesel,2.0,suv,True,new,all,True,15,15,26,37102.82
11261,Skoda,manual,green,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,12,26,21432.23
11279,Skoda,manual,black,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,13,26,17862.56
11319,Skoda,automatic,black,0,2019,diesel,diesel,2.0,suv,True,new,all,True,15,1,2,39313.76
11332,Skoda,manual,white,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,2,2,13942.43
11408,Skoda,automatic,silver,0,2019,gasoline,gasoline,1.4,suv,True,new,front,True,15,12,26,26811.63
11503,Mercedes-Benz,automatic,blue,0,2019,gasoline,gasoline,2.0,suv,False,new,all,False,17,45,68,49416.4
11561,Skoda,manual,white,0,2019,gasoline,gasoline,1.4,sedan,True,new,front,True,15,12,26,22087.64
11755,Geely,automatic,silver,0,2019,gasoline,gasoline,2.4,suv,False,new,front,False,6,2,14,21388.6
11831,Skoda,automatic,other,0,2019,gasoline,gasoline,2.0,suv,True,new,all,True,15,1,2,38226.79
11943,Volkswagen,manual,white,0,2019,gasoline,gasoline,1.6,sedan,False,new,front,False,5,718,1221,11239.68
12262,Skoda,automatic,green,0,2019,gasoline,gasoline,1.4,suv,True,new,all,True,15,12,26,36080.33
12284,Skoda,automatic,white,0,2019,diesel,diesel,2.0,suv,True,new,all,True,15,1,2,34074.74
12303,Skoda,automatic,blue,0,2019,gasoline,gasoline,1.4,sedan,True,new,front,True,15,2,3,18499.0
12684,Skoda,automatic,blue,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,14,31,16401.88
12710,Skoda,automatic,silver,0,2019,gasoline,gasoline,2.0,suv,True,new,all,True,15,12,26,38223.47
12755,Ford,automatic,black,0,2019,diesel,diesel,2.0,pickup,False,new,all,False,5,10,185,33000.0
12836,Skoda,manual,white,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,11,25,21065.64
12896,Skoda,automatic,other,0,2019,gasoline,gasoline,1.4,sedan,True,new,front,True,15,1,2,25893.48
13043,Hyundai,automatic,black,0,2019,diesel,diesel,2.0,suv,False,new,all,False,6,16,20,31900.0
13084,BMW,automatic,blue,0,2019,gasoline,gasoline,2.0,suv,False,new,all,False,14,26,40,47325.28
13273,Skoda,automatic,silver,0,2019,gasoline,gasoline,1.4,sedan,True,new,front,True,15,1,2,23536.94
13291,Skoda,automatic,brown,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,11,26,18487.62
13331,Skoda,manual,other,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,12,26,18839.04
13392,Skoda,manual,blue,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,2,3,14746.28
13680,Toyota,automatic,white,0,2017,gasoline,gasoline,1.8,sedan,False,new,front,True,20,3,40,15000.0
13706,Skoda,manual,black,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,1,2,14746.28
13964,Skoda,automatic,blue,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,2,3,18487.62
14164,Skoda,automatic,silver,0,2019,gasoline,gasoline,1.4,suv,True,new,front,True,15,12,26,27410.13
14194,Skoda,manual,brown,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,12,26,17767.71
14417,Skoda,automatic,other,0,2019,diesel,diesel,2.0,suv,True,new,all,True,15,12,26,38646.01
14624,Skoda,manual,black,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,1,2,14544.72
14653,Skoda,automatic,brown,0,2019,gasoline,gasoline,2.0,suv,True,new,all,True,15,12,26,39288.15
14679,Mercedes-Benz,automatic,white,0,2019,gasoline,gasoline,1.3,sedan,False,new,front,False,9,1,0,35500.0
14717,Skoda,automatic,blue,0,2019,gasoline,gasoline,1.4,suv,True,new,front,True,15,1,2,27410.6
14794,Skoda,manual,green,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,12,26,16647.06
14799,Skoda,automatic,red,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,1,1,16679.79
15017,Hyundai,automatic,black,0,2019,diesel,diesel,2.2,suv,True,new,all,True,12,49,83,45900.0
15087,Skoda,manual,grey,0,2019,gasoline,gasoline,1.4,sedan,True,new,front,True,15,11,26,27132.22
15100,Hyundai,automatic,black,0,2019,gasoline,gasoline,2.0,suv,True,new,all,True,9,48,83,31400.0
15112,Mini,automatic,grey,0,2018,gasoline,gasoline,1.5,suv,False,new,all,False,28,53,66,39456.08
15238,Skoda,manual,other,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,12,26,15976.48
15252,Skoda,automatic,brown,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,1,2,20318.68
15359,Skoda,manual,blue,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,1,1,16236.84
15483,Skoda,automatic,blue,0,2019,gasoline,gasoline,2.0,suv,True,new,all,True,15,12,26,38964.24
15732,Skoda,automatic,brown,0,2019,diesel,diesel,2.0,suv,True,new,all,True,15,2,3,38186.47
15737,Skoda,automatic,black,0,2019,gasoline,gasoline,1.4,sedan,True,new,front,True,15,1,2,17949.34
15802,Skoda,manual,silver,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,2,3,14746.28
15826,Fiat,manual,silver,0,2019,diesel,diesel,1.3,universal,False,new,front,True,10,356,839,22636.9
16023,Mercedes-Benz,automatic,black,0,2019,gasoline,gasoline,2.0,sedan,False,new,all,False,25,138,213,48976.16
16053,Skoda,automatic,silver,0,2019,gasoline,gasoline,1.4,suv,True,new,front,True,15,11,26,27689.46
16151,Skoda,automatic,blue,0,2019,gasoline,gasoline,2.0,sedan,True,new,front,True,15,1,0,44947.83
16314,Skoda,automatic,other,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,1,2,16105.47
16353,Nissan,automatic,violet,0,2019,gasoline,gasoline,2.0,suv,True,new,front,True,1,48,83,25900.0
16391,Skoda,manual,white,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,10,25,15946.13
16456,Skoda,automatic,brown,0,2019,gasoline,gasoline,1.6,liftback,False,new,front,False,5,21,34,12900.0
16485,Jeep,automatic,orange,0,2017,gasoline,gasoline,1.4,suv,False,new,all,True,12,354,839,37224.0
16504,Skoda,automatic,white,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,1,2,18241.0
16511,Skoda,manual,blue,0,2019,gasoline,gasoline,1.4,sedan,True,new,front,True,15,12,26,22647.73
16833,Skoda,automatic,red,0,2019,gasoline,gasoline,1.4,sedan,True,new,front,True,15,2,3,17381.68
16938,Hyundai,automatic,blue,0,2019,gasoline,gasoline,2.0,suv,True,new,all,True,7,48,83,27990.0
16996,Skoda,automatic,white,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,12,26,22476.52
17048,Skoda,manual,blue,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,1,2,19736.32
17061,Skoda,automatic,brown,0,2019,diesel,diesel,2.0,suv,True,new,all,True,15,11,25,38829.08
17230,Skoda,manual,blue,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,1,2,14964.91
17286,Skoda,automatic,blue,0,2019,gasoline,gasoline,2.0,suv,True,new,all,True,15,12,26,36258.66
17325,Skoda,automatic,blue,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,1,2,17465.62
17417,Skoda,manual,blue,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,13,26,18245.28
17675,Volkswagen,manual,black,0,2018,gasoline,gasoline,1.4,suv,True,new,front,True,10,1,1,19991.0
17743,Skoda,automatic,grey,0,2019,diesel,diesel,2.0,suv,True,new,all,True,15,1,2,37607.89
17764,Mercedes-Benz,automatic,white,0,2019,diesel,diesel,2.0,sedan,False,new,all,False,6,42,46,49500.0
17818,Skoda,manual,black,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,2,3,14544.72
17820,Skoda,manual,white,0,2019,gasoline,gasoline,1.4,suv,True,new,front,True,15,12,26,24728.73
17824,Skoda,manual,brown,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,12,26,14522.91
17952,Skoda,automatic,blue,0,2019,gasoline,gasoline,2.0,suv,True,new,all,True,15,11,26,36100.73
18078,Skoda,automatic,green,0,2019,gasoline,gasoline,1.4,sedan,True,new,front,True,15,1,1,26074.17
18207,Skoda,automatic,other,0,2019,gasoline,gasoline,2.0,suv,True,new,all,True,15,12,26,35053.12
18272,Skoda,automatic,silver,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,2,3,16105.47
18305,Skoda,automatic,black,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,2,3,18487.62
18560,Skoda,manual,blue,0,2019,gasoline,gasoline,1.4,suv,True,new,front,True,15,12,26,24478.8
18728,Skoda,automatic,brown,0,2019,diesel,diesel,2.0,suv,True,new,all,True,15,11,26,35823.76
18871,Skoda,automatic,silver,0,2019,gasoline,gasoline,1.8,sedan,True,new,front,True,15,1,1,27341.36
18956,Skoda,automatic,other,0,2019,gasoline,gasoline,1.4,sedan,True,new,front,True,15,1,2,17949.34
19013,Skoda,automatic,silver,0,2019,gasoline,gasoline,2.0,suv,True,new,all,True,15,10,25,36443.14
19031,Skoda,automatic,brown,0,2019,gasoline,gasoline,1.4,suv,True,new,front,True,15,11,26,27689.46
19130,Skoda,manual,other,0,2019,gasoline,gasoline,1.4,sedan,True,new,front,True,15,1,2,25371.81
19191,Skoda,automatic,green,0,2019,gasoline,gasoline,2.0,suv,True,new,all,True,15,13,26,41410.89
19207,Skoda,manual,blue,0,2019,gasoline,gasoline,1.4,sedan,True,new,front,True,15,1,1,22713.65
19259,Skoda,manual,silver,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,1,1,17862.56
19308,Skoda,automatic,black,0,2019,gasoline,gasoline,1.4,sedan,True,new,front,True,15,2,3,17949.34
19315,Skoda,manual,silver,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,1,2,14746.28
19473,Skoda,automatic,white,0,2019,gasoline,gasoline,1.4,sedan,True,new,front,True,15,1,2,18943.37
19484,BMW,automatic,grey,0,2019,diesel,diesel,2.0,sedan,False,new,all,False,15,26,39,46885.05
19774,Skoda,automatic,silver,0,2019,gasoline,gasoline,1.4,sedan,True,new,front,True,15,1,1,19189.98
19835,Skoda,manual,silver,0,2019,gasoline,gasoline,1.4,suv,True,new,front,True,15,13,26,25387.94
19937,Skoda,automatic,silver,0,2019,diesel,diesel,2.0,suv,True,new,all,True,15,12,26,34425.69
20035,Skoda,automatic,black,0,2019,gasoline,gasoline,2.0,suv,True,new,all,True,15,11,25,38223.47
20138,Skoda,automatic,other,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,2,3,16788.86
20178,Skoda,automatic,green,0,2019,gasoline,gasoline,1.4,suv,True,new,all,True,15,1,1,31786.97
20326,LADA,manual,red,0,2019,gasoline,gasoline,1.6,universal,False,new,front,False,16,31,56,12804.7
20461,Skoda,automatic,blue,0,2019,gasoline,gasoline,1.4,sedan,True,new,front,True,15,2,3,17949.34
20531,Skoda,automatic,other,0,2019,gasoline,gasoline,2.0,suv,True,new,all,True,15,12,26,39288.15
20669,Skoda,automatic,green,0,2019,gasoline,gasoline,2.0,suv,True,new,all,True,15,11,26,39272.5
20711,Skoda,automatic,red,0,2019,gasoline,gasoline,1.4,sedan,False,new,front,False,7,153,165,16800.0
20819,Skoda,automatic,grey,0,2019,gasoline,gasoline,2.0,sedan,True,new,front,True,15,1,0,36663.66
20970,Skoda,automatic,red,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,2,3,17688.04
21254,Skoda,manual,silver,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,1,2,14544.72
21325,Geely,automatic,white,0,2019,gasoline,gasoline,2.0,suv,False,new,front,False,2,2,12,15887.32
21334,Skoda,automatic,white,0,2019,gasoline,gasoline,2.0,suv,True,new,all,True,15,12,26,38928.67
21337,Skoda,automatic,silver,0,2019,gasoline,gasoline,2.0,suv,True,new,all,True,15,12,26,39288.15
21366,Skoda,automatic,black,0,2019,gasoline,gasoline,2.0,suv,True,new,all,True,15,1,2,39990.51
21418,Skoda,manual,red,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,2,3,17575.64
21466,Skoda,automatic,green,0,2019,gasoline,gasoline,2.0,suv,True,new,all,True,15,10,26,38226.79
21875,Skoda,automatic,silver,0,2019,gasoline,gasoline,2.0,sedan,True,new,front,True,15,1,0,32191.98
21934,Skoda,manual,brown,0,2019,gasoline,gasoline,1.6,sedan,True,new,front,True,15,2,3,16164.28
21940,Skoda,manual,grey,0,2019,gasoline,gasoline,1.4,sedan,True,new,front,True,15,13,26,26058.05
22024,Skoda,manual,green,0,2019,gasoline,gasoline,1.4,sedan,True,new,front,True,15,14,26,22564.26
