manufacturer_name,transmission,color,odometer_value,year_produced,engine_fuel,engine_type,engine_capacity,body_type,has_warranty,ownership,type_of_drive,is_exchangeable,number_of_photos,number_of_maintenance,duration_listed,price_usd
Fiat,automatic,blue,268000,1997,gasoline,gasoline,1.6,hatchback,False,owned,front,False,12.0,11,22.0,2050.0
Honda,manual,grey,156000,2010,gasoline,gasoline,1.8,sedan,False,owned,front,False,2.0,1,31.0,8600.0
Opel,manual,silver,279000,2009,diesel,diesel,2.0,universal,False,owned,front,True,5.0,12,31.0,9000.0
BMW,manual,green,392000,1998,gasoline,gasoline,1.9,sedan,False,owned,rear,False,12.0,2,10.0,3950.0
Skoda,manual,red,223000,1997,gasoline,gasoline,1.3,hatchback,False,owned,front,False,4.0,2,31.0,700.0
Citroen,automatic,other,145000,2003,gasoline,gasoline,2.0,hatchback,False,owned,front,False,8.0,2,31.0,3750.0
BMW,manual,silver,333333,2000,diesel,diesel,3.0,sedan,False,owned,rear,True,8.0,1,15.0,7999.0
Toyota,manual,other,172000,2006,gasoline,gasoline,1.8,sedan,False,owned,front,False,7.0,2,31.0,6900.0
Lexus,automatic,other,200000,2010,gasoline,gasoline,4.6,sedan,False,owned,all,False,5.0,4,31.0,19500.0
BMW,automatic,black,400000,1999,gasoline,gasoline,3.5,sedan,False,owned,rear,True,5.0,14,31.0,3400.0
BMW,manual,green,430000,2000,gasoline,gasoline,1.8,sedan,False,owned,rear,False,8.0,7,14.0,3000.0
Opel,automatic,blue,130000,2011,gasoline,gasoline,1.8,minivan,False,owned,front,False,10.0,2,31.0,8000.0
Mercedes-Benz,automatic,other,287000,2002,gasoline,gasoline,3.2,suv,False,owned,all,True,7.0,45,31.0,7800.0
Citroen,manual,green,380000,2003,gas,gasoline,2.0,minivan,False,owned,front,False,4.0,23,31.0,5500.0
Volkswagen,automatic,blue,333940,1999,diesel,diesel,2.5,universal,False,owned,all,True,9.0,114,31.0,4200.0
Lexus,automatic,silver,195462,2006,gasoline,gasoline,2.5,sedan,False,owned,all,True,12.0,14,26.0,10700.0
Lancia,manual,blue,320000,1997,gasoline,gasoline,2.0,minivan,False,owned,front,True,3.0,1,31.0,3700.0
Audi,manual,silver,330000,2000,diesel,diesel,2.5,sedan,False,owned,front,False,12.0,6,31.0,3700.0
Opel,manual,silver,210000,2010,diesel,diesel,1.7,minivan,False,owned,front,False,8.0,8,17.0,7300.0
Nissan,manual,blue,280000,1997,gasoline,gasoline,1.6,hatchback,False,owned,front,True,4.0,10,31.0,1650.0
Opel,manual,silver,380000,2008,diesel,diesel,1.9,minivan,False,owned,front,False,12.0,3,31.0,7900.0
Hyundai,automatic,black,88000,2012,gasoline,gasoline,1.6,sedan,False,owned,front,False,8.0,2,31.0,7800.0
Toyota,automatic,grey,254276,2007,gasoline,gasoline,2.4,sedan,False,owned,front,False,12.0,9,31.0,10300.0
Ford,manual,white,416200,2004,diesel,diesel,2.0,minivan,False,owned,front,False,12.0,23,31.0,6200.0
Peugeot,manual,green,317882,2005,diesel,diesel,1.6,universal,False,owned,front,False,12.0,92,31.0,4950.0
Toyota,automatic,silver,118000,2004,gasoline,gasoline,1.6,sedan,False,owned,front,False,4.0,3,8.0,7250.0
Volkswagen,automatic,silver,218700,2010,gasoline,gasoline,1.4,hatchback,False,owned,front,False,12.0,3,19.0,7800.0
Volkswagen,automatic,black,260000,2008,gasoline,gasoline,1.8,sedan,False,owned,front,False,12.0,8,31.0,6700.0
Chrysler,automatic,red,289682,2002,gasoline,gasoline,2.4,sedan,False,owned,front,False,6.0,8,18.0,2250.0
Citroen,automatic,white,120000,2013,gasoline,gasoline,1.6,sedan,False,owned,front,False,3.0,4,31.0,7300.0
Peugeot,manual,silver,410000,2001,diesel,diesel,2.0,sedan,False,owned,front,False,5.0,3,29.0,3200.0
BMW,automatic,silver,156000,2010,gasoline,gasoline,4.4,suv,False,owned,all,False,6.0,28,31.0,13300.0
Volkswagen,automatic,black,376900,2007,diesel,diesel,2.5,minibus,False,owned,front,True,12.0,79,31.0,11999.0
BMW,manual,green,320000,1997,gasoline,gasoline,2.8,universal,False,owned,rear,False,6.0,1,7.0,4150.0
Renault,manual,other,7200,2018,gasoline,gasoline,1.6,hatchback,False,owned,front,False,6.0,11,16.0,10884.0
Volkswagen,automatic,grey,245000,2006,diesel,diesel,1.9,sedan,False,owned,front,True,12.0,61,31.0,7000.0
Iveco,manual,white,700000,2006,diesel,diesel,2.8,minibus,False,owned,rear,True,5.0,11,22.0,4500.0
Peugeot,manual,blue,240000,2008,gasoline,gasoline,1.6,hatchback,False,owned,front,True,8.0,34,31.0,3500.0
Honda,automatic,grey,45000,2016,gasoline,gasoline,1.5,sedan,False,owned,front,False,8.0,15,31.0,13250.0
Renault,automatic,silver,115000,2014,gasoline,gasoline,2.0,suv,False,owned,front,False,5.0,36,31.0,8650.0
Toyota,manual,blue,245000,2002,diesel,diesel,2.0,suv,False,owned,all,False,9.0,20,31.0,5500.0
Nissan,automatic,black,124500,2013,gasoline,gasoline,1.6,hatchback,False,owned,all,False,2.0,3,3.0,12500.0
Fiat,manual,black,200000,2006,gasoline,gasoline,1.2,hatchback,False,owned,front,False,3.0,3,31.0,4600.0
BMW,automatic,grey,216000,2006,gasoline,gasoline,3.0,sedan,False,owned,rear,True,6.0,9,31.0,9500.0
Audi,automatic,black,196329,2010,gasoline,gasoline,2.0,coupe,False,owned,all,True,12.0,14,24.0,11999.0
Toyota,automatic,blue,211000,2010,hybrid-petrol,gasoline,1.8,liftback,False,owned,front,True,12.0,4,31.0,11900.0
Opel,manual,green,285000,2000,diesel,diesel,1.7,hatchback,False,owned,front,False,9.0,2,31.0,2990.0
Opel,manual,black,166000,2007,gasoline,gasoline,1.4,minivan,False,owned,front,False,9.0,2,22.0,5700.0
BMW,automatic,white,122000,2013,diesel,diesel,3.0,suv,False,owned,all,False,1.0,1,31.0,32000.0
Volvo,manual,silver,199375,2015,diesel,diesel,2.0,universal,False,owned,front,False,3.0,9,31.0,9100.0
Nissan,manual,black,270000,2002,diesel,diesel,2.2,suv,False,owned,all,False,4.0,1,31.0,6400.0
Toyota,manual,silver,350000,1998,diesel,diesel,2.2,minivan,False,owned,front,False,5.0,6,22.0,3700.0
BMW,manual,black,250000,2008,diesel,diesel,3.0,sedan,False,owned,rear,False,4.0,1,16.0,18200.0
Toyota,automatic,black,112300,2015,gasoline,gasoline,2.5,sedan,False,owned,front,True,12.0,2,31.0,19700.0
Mazda,manual,silver,320000,1999,gasoline,gasoline,2.0,universal,False,owned,front,False,5.0,48,31.0,948.5
Mercedes-Benz,automatic,silver,242000,1997,gasoline,gasoline,2.3,sedan,False,owned,rear,False,12.0,6,11.0,7300.0
Audi,manual,other,330000,2002,gasoline,gasoline,2.4,sedan,False,owned,front,True,12.0,75,31.0,5300.0
Mitsubishi,automatic,silver,247000,2002,diesel,diesel,3.2,suv,False,owned,rear,True,3.0,5,28.0,8000.0
Volkswagen,manual,brown,102000,2013,gasoline,gasoline,1.2,minivan,False,owned,front,False,6.0,4,15.0,9700.0
Volkswagen,manual,silver,278400,2011,diesel,diesel,2.0,universal,False,owned,front,True,12.0,37,31.0,11899.0
Volkswagen,manual,silver,350000,2008,diesel,diesel,2.0,universal,False,owned,front,False,3.0,1,31.0,7500.0
Volkswagen,automatic,blue,246100,2003,gasoline,gasoline,2.8,universal,False,owned,all,True,12.0,32,31.0,3399.0
Volkswagen,manual,silver,250000,2011,diesel,diesel,2.0,pickup,False,owned,all,True,12.0,20,31.0,18899.0
Buick,automatic,black,140000,2013,gasoline,gasoline,1.4,suv,False,owned,all,True,8.0,15,31.0,12800.0
Ford,manual,silver,300000,1998,gas,gasoline,1.8,universal,False,owned,front,True,5.0,8,31.0,1600.0
Hyundai,automatic,silver,464442,2001,gasoline,gasoline,2.7,suv,False,owned,all,True,11.0,4,22.0,5150.0
Nissan,automatic,black,201000,2008,diesel,diesel,2.5,pickup,False,owned,all,True,12.0,2,7.0,9450.0
Honda,manual,silver,245000,2007,diesel,diesel,2.2,suv,False,owned,all,False,11.0,14,21.0,10800.0
Renault,manual,white,333000,1997,diesel,diesel,2.5,van,False,owned,front,False,2.0,38,31.0,2499.0
LADA,manual,green,123456,2009,gasoline,gasoline,1.6,sedan,False,owned,front,False,4.0,1,9.0,1750.0
Toyota,automatic,silver,241402,2004,gasoline,gasoline,2.4,suv,False,owned,front,False,9.0,1,1.0,9500.0
Citroen,manual,white,370000,2013,gasoline,gasoline,1.6,van,False,owned,front,False,10.0,12,31.0,7500.0
Citroen,automatic,grey,210000,2004,gasoline,gasoline,2.0,hatchback,False,owned,front,False,7.0,8,31.0,4800.0
Volkswagen,manual,blue,270000,2006,diesel,diesel,2.0,universal,False,owned,front,False,7.0,36,31.0,5900.0
Toyota,manual,silver,113000,2010,gasoline,gasoline,1.0,hatchback,False,owned,front,False,7.0,4,14.0,5550.0
Opel,manual,black,150000,2008,gasoline,gasoline,1.6,hatchback,False,owned,front,True,7.0,5,31.0,5000.0
Jaguar,automatic,silver,185000,2007,gasoline,gasoline,2.0,sedan,False,owned,front,False,10.0,7,31.0,7200.0
Nissan,automatic,silver,200000,2008,gasoline,gasoline,2.5,sedan,False,owned,front,False,5.0,3,31.0,9500.0
Renault,manual,grey,230000,2003,gasoline,gasoline,1.4,hatchback,False,owned,front,True,4.0,3,4.0,3150.0
Rover,manual,green,400000,1999,diesel,diesel,2.0,sedan,False,owned,front,True,11.0,7,31.0,2500.0
Toyota,manual,grey,203000,2010,diesel,diesel,1.4,hatchback,False,owned,front,False,9.0,4,22.0,7000.0
Mazda,manual,black,350000,2002,gasoline,gasoline,2.0,sedan,False,owned,front,True,7.0,37,31.0,1750.0
Chevrolet,manual,other,228000,2007,gasoline,gasoline,2.4,suv,False,owned,all,True,6.0,6,11.0,7000.0
Ford,manual,red,444444,1997,diesel,diesel,1.6,hatchback,False,owned,front,False,12.0,1,30.0,450.0
Audi,manual,blue,271000,1998,gasoline,gasoline,2.4,sedan,False,owned,front,False,12.0,6,23.0,5500.0
Kia,manual,brown,101002,2014,gasoline,gasoline,1.4,hatchback,False,owned,front,False,2.0,3,31.0,12500.0
Audi,automatic,black,175000,2012,gasoline,gasoline,2.0,suv,False,owned,all,True,12.0,6,13.0,13950.0
BMW,manual,blue,175000,2015,diesel,diesel,1.5,hatchback,False,owned,front,True,12.0,24,31.0,14000.0
Mercedes-Benz,automatic,blue,270000,2000,gasoline,gasoline,2.5,sedan,False,owned,rear,False,5.0,3,31.0,4000.0
Mitsubishi,automatic,silver,80500,2014,gasoline,gasoline,1.8,suv,False,owned,front,False,4.0,3,31.0,15300.0
Dodge,automatic,blue,320000,1999,gasoline,gasoline,2.0,sedan,False,owned,front,False,12.0,30,31.0,1500.0
Suzuki,automatic,red,50000,2013,gasoline,gasoline,1.5,hatchback,False,owned,front,False,5.0,1,31.0,8062.22
SsangYong,automatic,black,90000,2011,diesel,diesel,2.0,suv,False,owned,all,False,10.0,3,15.0,10200.0
Geely,automatic,white,14900,2018,gasoline,gasoline,2.0,suv,False,owned,front,False,4.0,10,17.0,14500.0
Renault,automatic,red,93000,2016,gasoline,gasoline,1.6,minivan,False,owned,front,False,8.0,6,31.0,9500.0
Mazda,manual,silver,197602,2004,gasoline,gasoline,2.0,hatchback,False,owned,front,False,2.0,1,30.0,4200.0
Fiat,manual,silver,300000,1997,gasoline,gasoline,1.8,minivan,False,owned,front,False,12.0,3,3.0,2900.0
Kia,manual,red,57000,2012,gasoline,gasoline,1.4,sedan,False,owned,front,False,8.0,35,31.0,8300.0
Mercedes-Benz,automatic,grey,169000,2010,gasoline,gasoline,3.5,sedan,False,owned,rear,True,12.0,26,31.0,14700.0
Mazda,manual,blue,141000,2015,diesel,diesel,2.2,universal,False,owned,front,False,12.0,9,11.0,14600.0
Volkswagen,manual,silver,165000,2015,diesel,diesel,2.0,minibus,False,owned,front,True,12.0,4,17.0,26950.0
Opel,manual,silver,350000,2009,diesel,diesel,1.7,universal,False,owned,front,False,10.0,3,31.0,6100.0
Opel,automatic,black,150000,2010,gasoline,gasoline,1.6,hatchback,False,owned,front,False,6.0,20,31.0,8500.0
Fiat,manual,grey,235000,2001,gasoline,gasoline,1.2,hatchback,False,owned,front,False,5.0,13,31.0,2600.0
Volkswagen,automatic,black,259376,2005,diesel,diesel,2.0,minivan,False,owned,front,True,12.0,2,2.0,4550.0
Nissan,manual,silver,235000,2004,diesel,diesel,2.2,hatchback,False,owned,front,False,12.0,8,31.0,4200.0
BMW,automatic,black,250000,2002,gasoline,gasoline,3.0,suv,False,owned,all,False,12.0,4,29.0,12000.0
УАЗ,manual,black,9357,2004,gasoline,gasoline,2.4,suv,False,owned,all,False,6.0,2,31.0,2800.0
Peugeot,automatic,grey,251000,2003,gasoline,gasoline,1.4,hatchback,False,owned,front,True,12.0,34,31.0,3399.0
Hyundai,automatic,black,96000,2013,gasoline,gasoline,2.0,suv,False,owned,front,False,10.0,7,31.0,14900.0
Kia,manual,silver,78000,2013,gasoline,gasoline,2.0,suv,False,owned,front,False,12.0,3,5.0,13400.0
Mitsubishi,manual,black,350000,1998,gasoline,gasoline,1.6,sedan,False,owned,front,False,4.0,7,31.0,1800.0
Daewoo,manual,red,112000,2010,gasoline,gasoline,0.9,hatchback,False,owned,front,False,5.0,1,11.0,2450.0
Peugeot,manual,blue,223000,2003,diesel,diesel,2.0,hatchback,False,owned,front,False,12.0,1,31.0,4000.0
Mitsubishi,manual,grey,131000,2012,gasoline,gasoline,1.6,suv,False,owned,front,False,8.0,1,5.0,11600.0
Fiat,manual,blue,450000,1999,diesel,diesel,2.1,minivan,False,owned,front,False,5.0,89,31.0,2900.0
Renault,manual,green,299000,1997,gasoline,gasoline,1.6,minivan,False,owned,front,True,8.0,14,31.0,1750.0
Ford,manual,silver,300000,1999,diesel,diesel,1.8,hatchback,False,owned,front,False,3.0,1,2.0,1500.0
Mercedes-Benz,manual,white,350000,2003,diesel,diesel,2.2,minibus,False,owned,rear,False,5.0,1,31.0,9500.0
Opel,manual,silver,350000,2003,diesel,diesel,2.2,hatchback,False,owned,front,True,8.0,163,31.0,5700.0
Peugeot,manual,green,265000,1997,gasoline,gasoline,1.8,sedan,False,owned,front,False,11.0,3,15.0,1700.0
Honda,automatic,other,225000,2010,gasoline,gasoline,2.4,suv,False,owned,all,False,12.0,33,31.0,12500.0
Hyundai,manual,silver,230000,2010,diesel,diesel,2.2,suv,False,owned,front,False,9.0,128,31.0,13500.0
Volkswagen,manual,blue,350000,2009,diesel,diesel,1.9,van,False,owned,front,False,7.0,36,31.0,10000.0
BMW,automatic,yellow,169000,2010,gasoline,gasoline,3.0,liftback,False,owned,all,False,12.0,33,31.0,19700.0
Peugeot,automatic,grey,146250,2016,diesel,diesel,1.6,hatchback,False,owned,front,True,12.0,43,31.0,13333.0
BMW,manual,silver,525000,2000,diesel,diesel,3.0,universal,False,owned,rear,True,12.0,11,31.0,5350.0
BMW,automatic,silver,271000,2005,gasoline,gasoline,2.0,sedan,False,owned,rear,False,12.0,13,28.0,6299.0
BMW,automatic,green,310000,2001,gasoline,gasoline,2.2,sedan,False,owned,rear,True,4.0,31,31.0,4900.0
Opel,manual,blue,250000,1997,gasoline,gasoline,2.0,sedan,False,owned,front,False,5.0,1,31.0,2300.0
Renault,manual,white,74280,2017,gasoline,gasoline,1.6,sedan,False,owned,front,False,7.0,1,31.0,9200.0
BMW,automatic,blue,149000,2008,gasoline,gasoline,4.8,suv,False,owned,all,False,12.0,6,31.0,15000.0
Alfa Romeo,manual,red,200000,1998,gasoline,gasoline,1.4,hatchback,False,owned,front,False,12.0,7,31.0,1000.0
Opel,manual,grey,72000,2013,gasoline,gasoline,1.8,suv,False,owned,front,True,4.0,5,31.0,12000.0
Honda,manual,silver,396000,1998,gasoline,gasoline,1.8,sedan,False,owned,front,False,8.0,3,31.0,2400.0
Toyota,automatic,silver,195000,2009,diesel,diesel,2.2,suv,False,owned,all,True,5.0,1,31.0,12100.0
Audi,automatic,grey,180000,2006,gasoline,gasoline,2.4,sedan,False,owned,front,False,12.0,2,31.0,8500.0
Subaru,manual,violet,353000,2000,gasoline,gasoline,2.5,universal,False,owned,all,True,12.0,3,11.0,4250.0
Chrysler,manual,silver,300000,2002,diesel,diesel,2.5,minivan,False,owned,front,False,1.0,23,31.0,6000.0
Peugeot,manual,grey,333333,1997,gasoline,gasoline,1.8,sedan,False,owned,front,True,7.0,2,8.0,1700.0
Ford,automatic,blue,63000,2014,gasoline,gasoline,1.6,sedan,False,owned,front,True,12.0,79,31.0,9499.0
Opel,automatic,black,130000,2012,gasoline,gasoline,1.6,sedan,False,owned,front,False,12.0,3,25.0,9000.0
Daewoo,manual,grey,120000,1999,gasoline,gasoline,1.5,hatchback,False,owned,front,False,6.0,6,31.0,1100.0
Mercedes-Benz,automatic,black,198000,2010,diesel,diesel,3.0,suv,False,owned,all,False,12.0,1,2.0,20500.0
Mitsubishi,automatic,silver,184700,2009,gasoline,gasoline,3.0,suv,False,owned,all,False,12.0,6,10.0,11000.0
Ford,manual,other,180000,2006,gasoline,gasoline,1.6,sedan,False,owned,front,False,12.0,2,31.0,4600.0
Peugeot,automatic,blue,116000,2012,gasoline,gasoline,1.6,sedan,False,owned,front,False,11.0,48,31.0,6700.0
Audi,automatic,black,222222,2007,diesel,diesel,4.2,suv,False,owned,all,False,9.0,1,31.0,15500.0
Honda,automatic,grey,165000,2008,gasoline,gasoline,2.4,sedan,False,owned,front,False,5.0,14,31.0,11500.0
LADA,manual,white,109000,2017,gas,gasoline,1.6,sedan,False,owned,front,False,1.0,1,12.0,7999.0
Mitsubishi,automatic,silver,203683,2006,gasoline,gasoline,1.6,sedan,False,owned,front,False,5.0,11,31.0,3750.0
Renault,manual,silver,320000,2001,diesel,diesel,1.9,universal,False,owned,front,False,7.0,2,31.0,2940.34
Infiniti,automatic,brown,131000,2011,gasoline,gasoline,3.7,suv,False,owned,all,False,12.0,3,31.0,20700.0
Fiat,manual,yellow,300000,2001,gasoline,gasoline,1.2,hatchback,False,owned,front,False,12.0,5,12.0,2000.0
Volkswagen,automatic,other,185000,2008,gasoline,gasoline,1.8,sedan,False,owned,front,True,2.0,2,31.0,7500.0
Honda,manual,black,367000,2002,gasoline,gasoline,2.0,minivan,False,owned,front,True,9.0,20,31.0,4200.0
Opel,manual,green,293000,1999,diesel,diesel,2.0,universal,False,owned,front,False,12.0,4,31.0,4100.0
Citroen,manual,silver,220000,2008,diesel,diesel,2.0,minibus,False,owned,front,False,9.0,496,31.0,10433.45
Ford,manual,silver,383116,2001,diesel,diesel,2.0,hatchback,False,owned,front,False,12.0,46,31.0,3590.0
Renault,manual,grey,290000,2000,diesel,diesel,1.9,minivan,False,owned,front,False,6.0,2,31.0,3450.0
Volkswagen,automatic,grey,190659,2012,gasoline,gasoline,2.0,minibus,False,owned,front,True,12.0,17,26.0,24999.0
Renault,manual,blue,380000,2002,gasoline,gasoline,1.6,hatchback,False,owned,front,False,10.0,2,11.0,4200.0
Ford,manual,blue,250000,1997,gasoline,gasoline,1.8,hatchback,False,owned,front,True,4.0,19,31.0,1650.0
Volkswagen,manual,silver,137000,2015,diesel,diesel,1.6,universal,False,owned,front,True,10.0,10,21.0,12250.0
BMW,manual,blue,413000,2000,diesel,diesel,2.0,sedan,False,owned,rear,True,3.0,3,10.0,4500.0
Volkswagen,manual,green,350000,1997,diesel,diesel,2.5,minibus,False,owned,front,True,4.0,12,31.0,5800.0
Renault,manual,red,300000,1999,diesel,diesel,1.9,hatchback,False,owned,front,True,4.0,1,31.0,2300.0
Honda,manual,red,79500,2008,gasoline,gasoline,2.4,sedan,False,owned,front,False,12.0,2,12.0,13200.0
Saab,manual,other,347618,2002,gasoline,gasoline,2.3,sedan,False,owned,front,False,6.0,6,10.0,4300.0
Opel,manual,grey,185000,2010,gasoline,gasoline,1.6,hatchback,False,owned,front,False,8.0,1,31.0,5300.0
Infiniti,automatic,grey,170000,2008,gasoline,gasoline,3.5,suv,False,owned,rear,False,7.0,96,31.0,14500.0
Opel,manual,other,241000,2000,gasoline,gasoline,1.8,minivan,False,owned,front,False,12.0,1,0.0,3999.0
BMW,manual,grey,490000,1998,gasoline,gasoline,2.3,sedan,False,owned,rear,False,12.0,14,31.0,2550.0
Opel,automatic,blue,150000,2012,gasoline,gasoline,1.8,minivan,False,owned,front,True,11.0,1,0.0,7500.0
Ford,automatic,brown,246000,2005,gasoline,gasoline,4.0,suv,False,owned,all,False,12.0,25,31.0,9600.0
Ford,manual,other,327000,1998,gasoline,gasoline,2.3,minivan,False,owned,front,True,5.0,132,31.0,3400.0
Opel,manual,blue,281000,1998,gasoline,gasoline,2.0,universal,False,owned,rear,True,8.0,1,31.0,2400.0
Citroen,manual,blue,300000,1997,gasoline,gasoline,2.0,hatchback,False,emergency,front,False,8.0,27,31.0,700.0
Volkswagen,automatic,brown,109000,2012,gasoline,gasoline,1.8,sedan,False,owned,front,True,12.0,12,17.0,13550.0
Nissan,manual,silver,280000,2002,gasoline,gasoline,1.8,sedan,False,owned,front,False,12.0,5,23.0,4999.0
Mitsubishi,manual,other,350000,1997,gasoline,gasoline,1.6,hatchback,False,owned,front,True,5.0,10,31.0,1500.0
Ford,manual,other,132000,2014,diesel,diesel,2.0,minivan,False,owned,front,False,5.0,14,31.0,17900.0
Volvo,automatic,black,168000,2011,gasoline,gasoline,2.5,sedan,False,owned,front,True,7.0,2,31.0,12700.0
BMW,automatic,other,355000,2002,gasoline,gasoline,2.0,sedan,False,owned,rear,True,12.0,12,31.0,5500.0
Citroen,manual,grey,124000,2014,diesel,diesel,2.0,minivan,False,owned,front,True,12.0,33,31.0,15050.0
Kia,manual,silver,73000,2009,gasoline,gasoline,1.4,hatchback,False,owned,front,False,1.0,2,31.0,7500.0
УАЗ,manual,green,180000,1999,gasoline,gasoline,2.4,suv,False,owned,all,False,5.0,63,31.0,2000.0
Volvo,automatic,brown,215000,2012,gasoline,gasoline,3.2,suv,False,owned,all,False,3.0,2,31.0,19900.0
Renault,manual,grey,164000,2015,diesel,diesel,1.6,minivan,False,owned,front,True,12.0,7,8.0,16000.0
Honda,automatic,black,175000,2007,gasoline,gasoline,2.4,suv,False,owned,all,True,12.0,75,31.0,11200.0
Audi,automatic,blue,325000,1998,diesel,diesel,2.5,sedan,False,owned,all,False,10.0,29,31.0,6000.0
Mercedes-Benz,automatic,violet,250000,2002,gasoline,gasoline,2.0,sedan,False,owned,front,False,6.0,1,31.0,5600.0
Suzuki,automatic,other,174650,2002,gasoline,gasoline,1.3,hatchback,False,owned,front,False,12.0,18,31.0,4500.0
Renault,manual,grey,178000,2015,diesel,diesel,1.5,minivan,False,owned,front,True,12.0,7,31.0,11900.0
Opel,manual,black,290000,2002,diesel,diesel,2.0,minivan,False,owned,front,False,8.0,2,3.0,4550.0
Mazda,automatic,grey,107000,2012,gasoline,gasoline,2.0,suv,False,owned,all,False,9.0,17,31.0,16500.0
Ford,manual,yellow,300000,2004,diesel,diesel,1.8,van,False,owned,front,False,9.0,1,17.0,3650.0
Mitsubishi,manual,blue,78000,2008,gasoline,gasoline,2.0,sedan,False,owned,all,True,12.0,77,31.0,15500.0
Kia,automatic,white,134000,2014,diesel,diesel,2.2,suv,False,owned,front,False,12.0,3,31.0,19999.0
Peugeot,manual,blue,253400,2005,diesel,diesel,2.2,minivan,False,owned,front,False,12.0,4,10.0,6850.0
Ford,manual,black,112000,2009,gasoline,gasoline,1.6,sedan,False,owned,front,False,8.0,23,31.0,8500.0
Kia,manual,red,148000,2009,gasoline,gasoline,1.4,hatchback,False,owned,front,False,9.0,1,31.0,5600.0
Mini,manual,blue,151000,2015,diesel,diesel,1.5,hatchback,False,owned,front,False,12.0,1,2.0,12999.0
Subaru,automatic,other,318650,2005,gasoline,gasoline,3.0,universal,False,owned,all,True,7.0,166,31.0,7587.97
Renault,manual,brown,86000,2012,gasoline,gasoline,1.6,suv,False,owned,front,False,7.0,4,31.0,8500.0
Opel,manual,other,280000,1998,diesel,diesel,2.0,hatchback,False,owned,front,False,9.0,7,31.0,2200.0
Chery,manual,black,153000,2009,gasoline,gasoline,1.8,suv,False,owned,front,False,12.0,21,31.0,4550.0
Opel,manual,silver,97000,2010,gasoline,gasoline,1.4,hatchback,False,owned,front,False,11.0,3,31.0,6165.23
BMW,automatic,white,328000,2004,gas,gasoline,3.0,suv,False,owned,all,False,9.0,5,31.0,10700.0
Renault,manual,red,340000,2007,diesel,diesel,1.9,universal,False,owned,front,False,1.0,2,7.0,5200.0
BMW,automatic,black,300000,2000,diesel,diesel,3.0,sedan,False,owned,rear,True,12.0,9,31.0,8000.0
Renault,manual,silver,375426,1999,diesel,diesel,1.9,hatchback,False,owned,front,False,5.0,14,31.0,1950.0
Ford,automatic,grey,170000,2008,gasoline,gasoline,2.3,sedan,False,owned,front,False,12.0,2,4.0,7600.0
Hyundai,automatic,red,197000,2005,gasoline,gasoline,2.7,suv,False,owned,all,False,8.0,1,1.0,6399.0
